date,country_code,article,qid,pageviews,lang_code
2023-03-15,US,Main_Page,Q5296,7132908,en
2023-03-16,US,Main_Page,Q5296,4532076,en
2023-03-01,US,Cookie_(informatique),Q178995,4251750,fr
2023-03-17,US,Main_Page,Q5296,4233371,en
2023-03-10,US,Cookie_(informatique),Q178995,4158637,fr
2023-03-06,US,Cookie_(informatique),Q178995,3514957,fr
2023-03-19,US,Cookie_(informatique),Q178995,2933272,fr
2023-03-12,US,Main_Page,Q5296,2851618,en
2023-03-13,US,Main_Page,Q5296,2846356,en
2023-03-08,US,Main_Page,Q5296,2796720,en
2023-03-09,US,Main_Page,Q5296,2702258,en
2023-03-02,US,Cookie_(informatique),Q178995,2661075,fr
2023-03-10,US,Main_Page,Q5296,2624947,en
2023-03-14,US,Main_Page,Q5296,2618184,en
2023-03-02,US,Main_Page,Q5296,2606503,en
2023-03-07,US,Main_Page,Q5296,2596948,en
2023-03-06,US,Main_Page,Q5296,2586030,en
2023-03-03,US,Main_Page,Q5296,2579625,en
2023-03-01,US,Main_Page,Q5296,2574270,en
2023-03-27,US,Main_Page,Q5296,2573320,en
2023-03-19,US,Main_Page,Q5296,2573251,en
2023-03-05,US,Cookie_(informatique),Q178995,2566042,fr
2023-03-20,US,Main_Page,Q5296,2530097,en
2023-03-28,US,Main_Page,Q5296,2510465,en
2023-03-15,US,Cookie_(informatique),Q178995,2495052,fr
2023-03-07,US,Cookie_(informatique),Q178995,2481709,fr
2023-03-22,US,Main_Page,Q5296,2476383,en
2023-03-30,US,Main_Page,Q5296,2468445,en
2023-03-11,US,Main_Page,Q5296,2468331,en
2023-03-21,US,Main_Page,Q5296,2466354,en
2023-03-23,US,Main_Page,Q5296,2460014,en
2023-03-29,US,Main_Page,Q5296,2451114,en
2023-03-24,US,Main_Page,Q5296,2417993,en
2023-03-31,US,Main_Page,Q5296,2413987,en
2023-03-09,US,Cookie_(informatique),Q178995,2396580,fr
2023-03-05,US,Main_Page,Q5296,2378292,en
2023-03-25,US,Main_Page,Q5296,2377006,en
2023-03-04,US,Main_Page,Q5296,2365178,en
2023-03-26,US,Main_Page,Q5296,2358337,en
2023-03-18,US,Main_Page,Q5296,2351404,en
2023-03-31,US,Cookie_(informatique),Q178995,2170130,fr
2023-03-30,US,Cookie_(informatique),Q178995,2067899,fr
2023-03-25,US,Website,Q35127,1941853,en
2023-03-04,US,Cookie_(informatique),Q178995,1933211,fr
2023-03-14,US,YouTube,Q866,1787002,en
2023-03-03,US,Cookie_(informatique),Q178995,1771595,fr
2023-03-27,US,Cookie_(informatique),Q178995,1668440,fr
2023-03-13,US,Cookie_(informatique),Q178995,1509906,fr
2023-03-16,US,Cookie_(informatique),Q178995,1493759,fr
2023-03-08,US,Cookie_(informatique),Q178995,1296265,fr
2023-03-21,US,Cookie_(informatique),Q178995,1277332,fr
