article,qid,country_code,total_pageviews
Main_Page,Q5296,US,89005625
Cookie_(informatique),Q178995,US,49289112
Jimmy_Carter,Q23685,US,4964868
ã¡ã¤ã³ãã¼ã¸,Q5296,US,4061575
YouTube,Q866,US,3624806
URL,Q42253,US,3366191
Gallery_of_sovereign_state_flags,Q2429697,US,2525253
Python,Q747452,US,2432055
Lance_Reddick,Q322056,US,2339276
ChatGPT,Q115564437,US,2269484
Website,Q35127,US,1997587
2023_deaths,Q114929139,US,1995722
Pedro_Pascal,Q14752155,US,1834818
Chrysler_Hemi_engine,Q834730,US,1810718
Brendan_Fraser,Q193555,US,1759028
Murdaugh_family,Q108673301,US,1755067
Saint_Patrick's_Day,Q181817,US,1671436
Jamie_Lee_Curtis,Q106997,US,1541252
John_Wick:_Chapter_4,Q80322358,US,1449060
Michelle_Yeoh,Q214289,US,1388499
Regional_Snowfall_Index,Q17460747,US,1376205
Everything_Everywhere_All_At_Once,Q83808444,US,1316714
The_Last_of_Us_(TV_series),Q87131973,US,1282696
The_Whale_(2022_film),Q105883400,US,1210129
Tom_Sizemore,Q349852,US,1159241
Riley_Keough,Q254947,US,1156336
Cocaine_Bear,Q105840301,US,1141840
Daisy_Jones_&_The_Six,Q56274719,US,1132844
Jenna_Ortega,Q21738166,US,1116182
Google,Q95,US,1092960
Malaysia_Airlines_Flight_370,Q15908324,US,1092363
Creed_3,Q110664384,US,1091808
World_Baseball_Classic,Q26457,US,1066041
Jonathan_Ke_Quan,Q445017,US,1064590
Chris_Rock,Q4109,US,1051695
Bella_Ramsey,Q24891605,US,1027488
Jonathan_Majors,Q31970512,US,1021544
Ja_Morant,Q59656031,US,1003193
EEAAO,Q83808444,US,943647
Scream_6,Q112183099,US,923994
Jon_Jones,Q285450,US,921258
Donald_Trump,Q22686,US,917914
2023_World_Baseball_Classic,Q28682891,US,900577
"Neatsville,_Kentucky",Q6984524,US,898694
America,Q30,US,896658
Brownie_(folklore),Q1783949,US,895830
Cleopatra,Q635,US,895421
Suits-Index,Q1469999,US,886772
2023_Covenant_School_shooting,Q117314558,US,874764
Bruce_Willis,Q2680,US,868700
Keanu_Reeves,Q43416,US,866333
API,Q165194,US,864947
List_of_S&P_500_companies,Q6596115,US,848026
Raindrop_cake,Q24890727,US,846987
2025_NCAA_Division_I_men's_basketball_tournament,Q996954,US,831059
OnlyFans,Q61707579,US,815676
Sylvester_Stallone,Q40026,US,815420
Gwyneth_Paltrow,Q34460,US,783740
Marcel_Marceau,Q157191,US,780882
Swarm_(TV_series),Q116788716,US,777536
Shazam!_Fury_of_the_Gods,Q84712809,US,772928
George_Washington,Q23,US,769349
Boston_Strangler,Q2855440,US,757949
Kitty_O'Neil,Q6418591,US,740395
WrestleMania_39,Q104859271,US,735803
Jared_Fogle,Q6159960,US,734854
Niall_Horan,Q775231,US,730599
Justine_Siegemund,Q73885,US,724736
List_of_The_Mandalorian_episodes,Q56876444,US,719329
Kepler's_Supernova,Q320670,US,715516
Game+,Q65063267,US,709535
Cat,Q146,US,706504
